year,date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY
2010,2010-01-01,-2.3913429128969312,-5.138611592969582,-4.599533437013989,-16.99444206926036,-7.0364558458984305,-5.18598892691206,-7.164654976087462,-3.6903266331658244,-6.951566951566946,-14.669239719612904,-10.166938621815007,-8.348052053515246,-2.1961697514754803,-12.10599291326453,-8.384752897756755,-4.687191242145204,-2.42439390152461,-2.8879882845758402,-2.8359899668258066,-4.509428380124888,-8.682776084810513,-6.148670557717253,-11.600825471698116,-9.491881176573457,-5.0755865654285515,-4.543504543504568,-6.2261349172677285,-6.7522304887808815,0.6784260515603648,-2.4618667509681416,-7.446304110758135,-6.971305897912643,-5.7246918192005865,-19.40465856481481,-6.014864887036694,-5.469688165795077,-1.9018047739181156,-10.491267151693265,-4.363458920820818,-8.397123189942732,-6.598791150754067,-2.511699942762874,-5.189006845917248,-2.5871125897390925,-7.052679903592335,-10.452681737588648,-6.749642081928613,-2.870623511773516,-10.35251736855649,-5.243363525245243,-3.4305867265149175,-4.673664667237915
2011,2011-01-01,1.6756933590200305,-3.6159127764551613,-1.4957003708684908,-11.298333394650669,-4.396115174792655,-2.7700343319933154,-2.4163477578255197,0.4637933221008268,-4.184527454582579,-8.005188239989351,-6.116389548693576,-2.0843947280983315,0.2996715927750415,-9.549183201290063,-4.179517844778758,-1.0241738192975873,-0.6574453551912711,-0.5646151148518186,-1.0326019069825492,-1.2278842233999114,-3.8752585072382004,-1.5266681062405638,-4.185426046356511,-4.145328051019419,-2.767168696404127,-2.9865991175028626,-3.0624363759755653,-2.908547633427631,2.4338037101633034,0.20256856946076596,-2.4307779001562437,-2.6290847653191634,-4.701997688624743,-10.9006866220886,-0.7593876019063259,-2.925869770110239,-1.5825914935707175,-7.0082075721471995,-1.1815886997153484,-2.60166708764838,-3.581189331825456,0.7943360386807115,-2.1696665271382756,-1.2088257762998325,-3.4142125084892285,-5.550227392259373,-2.5109575811603833,-0.4426385799246475,-6.178243398392652,-2.3516570748164156,-0.749383418706131,-1.0112738304805475
2012,2012-01-01,0.032175032175032925,-0.758904599964211,0.5047579644186868,-2.608875985068437,-2.748208802456503,-0.45872944016900874,-2.388194776138164,3.424521666997265,-3.3020877716233343,-3.1343769205740983,-6.235815009115598,1.0157451814315266,0.7489870257438582,-0.9882954809704643,-2.5520593838270997,-0.15919564306661016,-0.3180060163300311,0.08464414191999481,0.4754091463671273,-1.1143762794690701,-1.5720118328728745,-1.3157029142819567,-0.8832231117299045,-1.9287634408602088,-0.5929000222337493,0.5264266161297115,0.8751203290452452,-2.4882137244630798,4.132807058277237,1.1644361783851593,-2.1474325317652045,-3.6226670616615166,-2.6679602231384933,-8.19482220207513,-1.8399943709541304,-1.1271054075731257,1.2311557788944754,-2.8784557127808057,-1.6685689439643596,-3.913813969571237,-2.1503274362232503,0.7743703957512338,-0.7808600156885177,0.34115720524016524,-1.6300178982357494,-0.2358413311932992,-0.7518606009804643,-0.034200506167479716,-3.6813256851497727,-1.2939064458219036,-0.6738029245914134,0.3140489613682007
2013,2013-01-01,2.8698045102033376,-0.8079933629116596,1.4531533014984461,11.430518291384502,6.798926485291787,4.247642725040166,-0.921991295165995,5.952713070163213,-0.6144280433771456,4.50847204598044,0.845204555374778,2.8441538082547737,1.3080922976925535,3.8086663796140385,-0.7516262765850001,1.0574018126888234,1.0131057078806691,0.8351539925294276,1.5702202495603217,1.1686728884585165,0.7501241927471369,0.062218074350610664,4.082349326192897,2.556020009593624,-0.044732721986122215,-0.1131126937578415,3.1982880772678755,0.09065269943594956,9.219620958751392,1.6785899844130796,-0.16365294843591016,-0.5664602819127822,0.633654907265651,8.141767707247482,-0.14694813805955675,-0.18358807958330203,1.360138992305778,3.670262664165108,0.45876630554941755,-1.441712961921695,0.2563846435587749,3.2844853966202976,1.0277787760089296,3.0735754113967033,2.212619403470015,4.2354795285156115,0.8752847234663221,0.47669008302162297,3.009449194039334,-0.18187433512920848,1.159490016839058,2.429088714544349
2014,2014-01-01,0.7504168982768391,0.280010182188434,0.7993507810915048,13.258169310147139,16.738112835673817,7.465681712424384,-1.3568662109121163,10.408781226343677,0.8916256157635445,10.43139775730306,6.704965766900145,7.900180737321165,1.1388242842248673,5.931372549019613,1.725191876655586,0.4774954326523897,0.6828560454099204,-0.25161628516511314,1.5665581069382029,3.505124016040398,2.001873674868108,-0.25537962736781594,6.583442284171895,4.871041026326338,0.5370328932647226,0.17195822673321004,3.3009219043349134,1.2814061923451163,8.604674900479736,2.5038323965252687,2.4453819901647336,1.329270446917505,-0.0106123315292308,21.20643295621734,0.8470926058865587,0.9281834124641932,2.1989323669131693,8.884741545074078,0.7592847317744287,0.3811045184847188,0.6941215543008923,2.334002699410746,2.539750293458539,6.561991467651836,4.92704790362059,7.440073077771103,1.7379170366611731,-1.7660545252309703,6.292718022508865,-0.460671067106702,2.1592314277561115,2.5224628074826967
2015,2015-01-01,3.9793103448275957,3.1114012184508226,1.8919571693100607,5.028008368765626,6.8672969778828445,9.241969094205842,2.5507918522227158,6.258663606146882,3.4812753283530924,9.080619603531346,6.294711999409984,7.085628947952614,3.1361509793037783,5.453315772612385,4.543633571476249,4.252241828174718,3.649696918316309,3.7031846687453935,4.326825506352222,4.783087004352609,3.449025958331319,3.5288093329771044,6.394428616650828,3.9662312838483587,4.158320350174364,3.3788310165801363,4.147565441475649,4.272513496505809,6.356516290726816,4.271799984661428,3.5464155496681684,3.1139681847897265,2.140380669355409,10.660918337449246,4.1500569476082205,4.38209866078995,3.6179796818094587,7.536487820079984,3.251788347075845,4.655921067588167,5.5740624690787826,4.310622145017049,5.061227321608229,7.231004168558357,5.268260171468398,4.998680700108466,3.5985037406483826,2.250722125938779,7.044262334711249,3.626441942391395,1.433891992551196,4.0228440070399785
2016,2016-01-01,3.1637593685746452,2.187521980727311,2.3664664981036623,7.338388381956037,8.09668628302856,11.928355546747255,-0.1850091219775578,8.034787487726192,1.3258469378125852,9.469034419376825,6.0156114483954894,6.8448230372017775,3.675085534156011,6.923206751054849,2.455692160306569,2.6874900903757606,3.517094716178633,3.4662162162162105,3.3498035248803717,4.946668492567056,2.2639657951917087,2.9483236919636227,5.664236834275528,4.752566263214348,3.995868798746386,2.0452796565550386,4.933062457675689,4.631070736588015,3.3609237385489905,4.251250367755219,3.9518682710576485,2.2084152243284905,2.0920647016037037,10.257962024358875,2.6467773904722804,3.7515225334957307,3.6997641400360806,11.30940880989182,1.9382817251500768,3.5820571304442126,4.861132806398189,4.74927527292914,5.563626758238115,7.451599245602566,5.220444342120416,6.779471714971791,1.7018510940471288,0.723180184862926,10.11494772024119,3.6661778429542693,3.024600697631726,2.1200925382410816
2017,2017-01-01,1.1958338691012074,3.3418226872246777,4.357222801126909,7.6269157088122626,7.37147868025869,10.267590358779131,0.4608057665079315,5.881741930457835,3.0803259604190885,9.616790792146233,6.430184233777297,4.520760574311211,4.075049130483151,7.545144588963268,3.36616381997257,4.172778506909609,4.049462705436156,4.564748906158172,2.375395271796421,5.1528156353302705,2.956362805574585,5.280748663101605,6.779064446869171,5.903001228573103,4.1265710078421876,3.2068582314653185,4.373510722795885,4.896633374821647,2.9068110572813026,5.725271624100458,4.642378457414395,2.144156810851044,3.8303647158609095,9.121783876500842,4.709270387694971,4.292870000782671,3.3046425545199156,10.069210908854217,3.496757457846968,6.954114587702392,5.279308803813507,5.072719778602135,6.565324825623222,7.550954615467262,5.702642087413153,8.278855708383446,3.2094674556212937,2.9190693082636017,10.840853158326496,4.481738683127574,1.3587561812268945,1.9374471682163943
2018,2018-01-01,2.0012706480305127,3.9131448363139754,3.860946745562117,9.180665257536987,8.355877698943388,10.168606985146525,2.0858958589585797,7.578358758032081,4.3299527928986095,9.1140428896136,9.008732013282497,5.832222353477221,3.976058144506183,12.176363529618968,3.9952961042093875,6.506836625041672,6.572502562934261,6.048588558581059,4.361095789667218,6.804456332901296,4.842002485354158,5.188492063492049,7.05738866730394,6.927411335764006,6.482273235545605,3.4071681279802988,5.995243757431638,7.145337732245167,0.8778731653281397,6.8132528110507025,6.918956683744753,4.8764195056780295,3.172787870866543,13.213241535414525,6.359098279863915,6.359986492064081,2.9658090139872257,7.937790743514952,5.163166073487389,8.207843137254912,7.609587684296912,5.362997001877318,8.127384796008215,7.913405495420477,6.900923745698236,10.290282071097366,4.96720634775032,3.4837584477872383,11.830662768752532,5.858822081358838,3.8985583684950598,4.819556852859222
2019,2019-01-01,2.2640921831205105,5.999615409268657,3.418316479134049,7.64194920651093,5.192827083725888,7.032758809168087,2.271700386565584,6.8199434616086165,2.937865338817943,6.985169251669873,7.009082191008062,2.9866215936089873,3.686951754385987,12.22850264301043,2.6211255762706998,7.066068260098106,4.82043608379648,3.5481876269839034,2.519291075014962,4.941841700985023,2.7282732929772067,5.653117042346494,6.9031344294599535,5.393676379417229,4.703956512339019,2.7222015619189506,4.130488434183661,7.236042460092378,1.3122134680319704,4.8136694467872445,4.767920541918059,3.144180660104226,4.88044338875693,11.493391091858271,4.895219873845335,5.630424045720744,4.4861850656157145,5.957011632790966,4.425854425854411,5.135360417497196,5.622468837111441,6.531393771773523,7.250468253752814,5.694268695410628,5.453357215471755,9.792200398519782,3.628856069212617,3.101036487739094,7.071475843812053,5.9269809894773715,2.5635602182833424,0.22784089111105743
