AL,1980,3,110.26
AL,1980,4,109.47
AL,1981,1,105.82
AL,1981,2,109.42
AL,1981,3,113.34
AL,1981,4,107.05
AL,1982,1,109.44
AL,1982,2,108.15
AL,1982,3,107.9
AL,1982,4,115.17
AL,1983,1,115.11
AL,1983,2,114.56
AL,1983,3,117.45
AL,1983,4,114.54
AL,1984,1,124.1
AL,1984,2,120.55
AL,1984,3,125.07
AL,1984,4,121.97
AL,1985,1,121.92
AL,1985,2,125.14
AL,1985,3,127.92
AL,1985,4,128.95
AL,1986,1,129.89
AL,1986,2,132.4
AL,1986,3,134.15
AL,1986,4,136.38
AL,1987,1,138.57
AL,1987,2,139.47
AL,1987,3,140.15
AL,1987,4,138.77
AL,1988,1,142.64
AL,1988,2,143.72
AL,1988,3,143.14
AL,1988,4,141.94
AL,1989,1,142.12
AL,1989,2,143.8
AL,1989,3,146.17
AL,1989,4,147.21
